"?SalesID","Sales Area","Product Name","Country","State","Quantity","Order Date","Price Paid"
1208445,"Region Central","Rockstar Energy Zero Sugar","Austria","Carinthia",1394,"2019-07-01","1"
1208446,"Region Central","Rockstar Energy Zero Sugar","Austria","Salzburg",3024,"2019-07-01","1"
1208447,"Region Central","Rockstar Energy Zero Sugar","Austria","Styria",1380,"2019-07-01","1"
1208448,"Region Central","Rockstar Energy Zero Sugar","Austria","Tyrol",1488,"2019-07-01","1"
1208449,"Region Central","Rockstar Energy Zero Sugar","Austria","Upper Austria",3189,"2019-07-01","1"
1208450,"Region Central","Rockstar Energy Zero Sugar","Austria","Vienna",4961,"2019-07-01","1"
1208451,"Region West","Rockstar Energy Zero Sugar","Belgium","Antwerp",1641,"2019-07-01","0,95"
1208452,"Region West","Rockstar Energy Zero Sugar","Belgium","Brussels",2050,"2019-07-01","0,95"
1208453,"Region West","Rockstar Energy Zero Sugar","Belgium","East Flanders",536,"2019-07-01","0,95"
1208454,"Region West","Rockstar Energy Zero Sugar","Belgium","Flemish Brabant",554,"2019-07-01","0,95"
1208455,"Region West","Rockstar Energy Zero Sugar","Belgium","Hainaut",538,"2019-07-01","0,95"
1208456,"Region West","Rockstar Energy Zero Sugar","Belgium","Limburg",1303,"2019-07-01","0,76"
1208457,"Region West","Rockstar Energy Zero Sugar","Belgium","Liège",562,"2019-07-01","0,95"
1208458,"Region West","Rockstar Energy Zero Sugar","Belgium","Namur",587,"2019-07-01","0,95"
1208459,"Region West","Rockstar Energy Zero Sugar","Belgium","West Flanders",528,"2019-07-01","0,95"
1208460,"Region North 2","Rockstar Energy Zero Sugar","Denmark","Central Jutland",2481,"2019-07-01","1,1"
1208461,"Region North 2","Rockstar Energy Zero Sugar","Denmark","Hovedstaden",5862,"2019-07-01","1,1"
1208462,"Region North 2","Rockstar Energy Zero Sugar","Denmark","South Denmark",1378,"2019-07-01","0,88"
1208463,"Region North 2","Rockstar Energy Zero Sugar","Denmark","Zealand",1384,"2019-07-01","0,88"
1208464,"Region North 2","Rockstar Energy Zero Sugar","Finland","Finland Proper",2208,"2019-07-01","0,824"
1208465,"Region North 2","Rockstar Energy Zero Sugar","Finland","Kymenlaakso",1258,"2019-07-01","1,03"
1208466,"Region North 2","Rockstar Energy Zero Sugar","Finland","Uusimaa",585,"2019-07-01","1,03"
1208467,"Region West","Rockstar Energy Zero Sugar","France","Alsace-Champagne-Ardenne-Lorraine",4497,"2019-07-01","0,95"
1208468,"Region West","Rockstar Energy Zero Sugar","France","Aquitaine-Limousin-Poitou-Charentes",7052,"2019-07-01","0,76"
1208469,"Region West","Rockstar Energy Zero Sugar","France","Auvergne-Rhône-Alpes",2112,"2019-07-01","0,95"
1208470,"Region West","Rockstar Energy Zero Sugar","France","Brittany",10701,"2019-07-01","0,95"
1208471,"Region West","Rockstar Energy Zero Sugar","France","Bourgogne-Franche-Comté",2753,"2019-07-01","0,76"
1208472,"Region West","Rockstar Energy Zero Sugar","France","Centre-Val de Loire",2320,"2019-07-01","0,95"
1208473,"Region West","Rockstar Energy Zero Sugar","France","Corsica",2116,"2019-07-01","0,95"
1208474,"Region West","Rockstar Energy Zero Sugar","France","Ile-de-France",6643,"2019-07-01","0,95"
1208475,"Region West","Rockstar Energy Zero Sugar","France","Languedoc-Roussillon-Midi-Pyrénées",2632,"2019-07-01","0,76"
1208476,"Region West","Rockstar Energy Zero Sugar","France","Normandy",13432,"2019-07-01","0,95"
1208477,"Region West","Rockstar Energy Zero Sugar","France","Nord-Pas-de-Calais-Picardie",3843,"2019-07-01","0,95"
1208478,"Region West","Rockstar Energy Zero Sugar","France","Pays de la Loire",8173,"2019-07-01","0,95"
1208479,"Region West","Rockstar Energy Zero Sugar","France","Provence-Alpes-Côte d'Azur",2310,"2019-07-01","0,76"
1208480,"Region Central","Rockstar Energy Zero Sugar","Germany","Baden-Württemberg",15166,"2019-07-01","1"
1208481,"Region Central","Rockstar Energy Zero Sugar","Germany","Bavaria",15261,"2019-07-01","0,8"
1208482,"Region Central","Rockstar Energy Zero Sugar","Germany","Berlin",3665,"2019-07-01","1"
1208483,"Region Central","Rockstar Energy Zero Sugar","Germany","Brandenburg",9479,"2019-07-01","0,8"
1208484,"Region Central","Rockstar Energy Zero Sugar","Germany","Bremen",1219,"2019-07-01","1"
1208485,"Region Central","Rockstar Energy Zero Sugar","Germany","Hamburg",2505,"2019-07-01","1"
1208486,"Region Central","Rockstar Energy Zero Sugar","Germany","Hesse",8782,"2019-07-01","1"
1208487,"Region Central","Rockstar Energy Zero Sugar","Germany","Lower Saxony",5881,"2019-07-01","1"
1208488,"Region Central","Rockstar Energy Zero Sugar","Germany","Mecklenburg-Vorpommern",1133,"2019-07-01","1"
1208489,"Region Central","Rockstar Energy Zero Sugar","Germany","North Rhine-Westphalia",12976,"2019-07-01","1"
1208490,"Region Central","Rockstar Energy Zero Sugar","Germany","Rhineland-Palatinate",10064,"2019-07-01","1"
1208491,"Region Central","Rockstar Energy Zero Sugar","Germany","Saarland",1530,"2019-07-01","0,8"
1208492,"Region Central","Rockstar Energy Zero Sugar","Germany","Saxony",8456,"2019-07-01","1"
1208493,"Region Central","Rockstar Energy Zero Sugar","Germany","Saxony-Anhalt",6030,"2019-07-01","1"
1208494,"Region Central","Rockstar Energy Zero Sugar","Germany","Schleswig-Holstein",3658,"2019-07-01","1"
1208495,"Region Central","Rockstar Energy Zero Sugar","Germany","Thuringia",7038,"2019-07-01","1"
1208496,"Region North 1","Rockstar Energy Zero Sugar","Ireland","Cork",1735,"2019-07-01","0,93"
1208497,"Region North 1","Rockstar Energy Zero Sugar","Ireland","Dublin",4622,"2019-07-01","0,93"
1208498,"Region North 1","Rockstar Energy Zero Sugar","Ireland","Galway",913,"2019-07-01","0,93"
1208499,"Region North 1","Rockstar Energy Zero Sugar","Ireland","South Dublin",2737,"2019-07-01","0,93"
1208500,"Region South","Rockstar Energy Zero Sugar","Italy","Abruzzi",4473,"2019-07-01","0,85"
1208501,"Region South","Rockstar Energy Zero Sugar","Italy","Apulia",4010,"2019-07-01","0,85"
1208502,"Region South","Rockstar Energy Zero Sugar","Italy","Basilicata",4082,"2019-07-01","0,85"
